Deal Date,Security Code,Company,Client Name,Deal Type,Quantity,Price
06/01/2021,533096,ADANIPOWER,FLOURISHING TRADE AND INVESTMENT LTD,P,30550000,49.40
06/01/2021,533096,ADANIPOWER,UNIVERSAL TRADE AND INVESTMENTS LTD,S,30550000,49.40
06/01/2021,533096,ADANIPOWER,FLOURISHING TRADE AND INVESTMENT LTD,P,24570000,49.35
06/01/2021,533096,ADANIPOWER,UNIVERSAL TRADE AND INVESTMENTS LTD,S,24570000,49.35
06/01/2021,533096,ADANIPOWER,UNIVERSAL TRADE AND INVESTMENTS LTD,S,17518775,49.45
06/01/2021,533096,ADANIPOWER,FLOURISHING TRADE AND INVESTMENT LTD,P,17518775,49.45
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,4844987,175.00
06/01/2021,539150,PNCINFRA,FID FUNDS MAURITIUS LIMITED,P,4844987,175.00
06/01/2021,539150,PNCINFRA,NIPON INDIA MUTUAL FUND,P,2500000,175.00
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,2500000,175.00
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,2200000,175.00
06/01/2021,539150,PNCINFRA,AXIS MUTUAL FUND,P,2200000,175.00
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,2080000,175.00
06/01/2021,539150,PNCINFRA,BNP PARIBAS ARBITRAGE,P,2080000,175.00
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,1275000,175.00
06/01/2021,539150,PNCINFRA,MAX LIFE INSURANCE COMPANY LIMITED,P,1275000,175.00
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,818751,175.00
06/01/2021,539150,PNCINFRA,PCA INDIA INFRASTRUCTURE EQUITYOPEN LIMITED,P,818751,175.00
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,750000,175.00
06/01/2021,539150,PNCINFRA,CN INFRABUILD PRIVATE LIMITED,S,750000,175.00
06/01/2021,539150,PNCINFRA,GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED,P,750000,175.00
